origin,temp,dewp,humid,wind_dir,wind_speed,precip,pressure,visib,time_hour
JFK,28.94,14.0,53.13,310.0,12.65858,0.0,1022.5,10.0,03/01/2013 02:00
JFK,26.96,15.08,60.41,320.0,9.20624,0.0,1022.3,10.0,03/01/2013 03:00
JFK,26.96,15.08,60.41,330.0,12.65858,0.0,1022.0,10.0,03/01/2013 04:00
JFK,26.96,15.08,60.41,340.0,9.20624,0.0,1022.2,10.0,03/01/2013 05:00
JFK,26.06,14.0,59.81,340.0,12.65858,0.0,1022.5,10.0,03/01/2013 06:00
JFK,26.06,14.0,59.81,330.0,6.90468,0.0,1022.5,10.0,03/01/2013 07:00
JFK,28.04,14.0,55.12,310.0,10.35702,0.0,1022.5,10.0,03/01/2013 08:00
JFK,28.94,14.0,53.13,300.0,10.35702,0.0,1022.9,10.0,03/01/2013 09:00
JFK,30.92,15.08,51.38,320.0,8.05546,0.0,1022.2,10.0,03/01/2013 10:00
JFK,30.02,12.02,46.59,300.0,10.35702,0.0,1021.3,10.0,03/01/2013 11:00
JFK,33.08,12.92,42.84,280.0,12.65858,0.0,1020.2,10.0,03/01/2013 12:00
JFK,33.08,12.92,42.84,250.0,11.5078,0.0,1019.5,10.0,03/01/2013 13:00
JFK,33.08,12.02,41.17,270.0,5.7539,0.0,1018.9,10.0,03/01/2013 14:00
JFK,32.0,12.92,44.74,250.0,8.05546,0.0,1018.9,10.0,03/01/2013 15:00
JFK,30.92,15.08,51.38,260.0,10.35702,0.0,1019.1,10.0,03/01/2013 16:00
JFK,30.92,15.08,51.38,250.0,13.80936,0.0,1019.6,10.0,03/01/2013 17:00
JFK,30.92,15.08,51.38,250.0,14.96014,0.0,1019.9,10.0,03/01/2013 18:00
JFK,32.0,15.08,49.19,250.0,13.80936,0.0,1019.9,10.0,03/01/2013 19:00
JFK,32.0,15.98,51.15,260.0,13.80936,0.0,1019.8,10.0,03/01/2013 20:00
JFK,32.0,17.06,53.6,260.0,13.80936,0.0,1019.5,10.0,03/01/2013 21:00
JFK,32.0,17.06,53.6,260.0,13.80936,0.0,1019.4,10.0,03/01/2013 22:00
JFK,32.0,19.04,58.37,250.0,13.80936,0.0,1018.8,10.0,03/01/2013 23:00
JFK,32.0,19.04,58.37,260.0,16.11092,0.0,1018.2,10.0,04/01/2013 00:00
JFK,32.0,19.04,58.37,260.0,14.96014,0.0,1018.4,10.0,04/01/2013 01:00
JFK,30.92,19.94,63.36,250.0,11.5078,0.0,1018.6,10.0,04/01/2013 02:00
JFK,30.02,19.94,65.72,260.0,10.35702,0.0,1018.4,10.0,04/01/2013 03:00
JFK,30.92,19.04,60.97,280.0,12.65858,0.0,1018.5,10.0,04/01/2013 04:00
JFK,33.08,21.02,60.81,260.0,13.80936,0.0,1018.7,10.0,04/01/2013 05:00
JFK,33.08,21.02,60.81,260.0,12.65858,0.0,1019.0,10.0,04/01/2013 06:00
JFK,33.98,21.92,60.93,240.0,18.41248,0.0,1019.1,10.0,04/01/2013 07:00
JFK,35.06,21.02,56.18,250.0,14.96014,0.0,1019.4,10.0,04/01/2013 08:00
JFK,35.96,21.02,54.21,250.0,16.11092,0.0,1019.4,10.0,04/01/2013 09:00
JFK,35.96,19.94,51.78,260.0,14.96014,0.0,1018.5,10.0,04/01/2013 10:00
JFK,35.96,19.94,51.78,250.0,17.2617,0.0,1017.2,10.0,04/01/2013 11:00
JFK,37.04,19.94,49.62,260.0,18.41248,0.0,1016.2,10.0,04/01/2013 12:00
JFK,37.94,19.04,46.09,260.0,19.56326,0.0,1015.4,10.0,04/01/2013 13:00
JFK,37.94,19.94,47.89,250.0,20.71404,0.0,1014.9,10.0,04/01/2013 14:00
JFK,37.04,19.94,49.62,250.0,20.71404,0.0,1014.9,10.0,04/01/2013 15:00
JFK,35.96,19.94,51.78,260.0,19.56326,0.0,1015.1,10.0,04/01/2013 16:00
JFK,35.96,19.94,51.78,250.0,18.41248,0.0,1015.6,10.0,04/01/2013 17:00
JFK,35.96,21.02,54.21,260.0,18.41248,0.0,1015.6,10.0,04/01/2013 18:00
JFK,35.96,21.02,54.21,260.0,20.71404,0.0,1015.7,10.0,04/01/2013 19:00
JFK,35.96,19.94,51.78,270.0,16.11092,0.0,1015.4,10.0,04/01/2013 20:00
JFK,35.06,19.94,53.66,270.0,17.2617,0.0,1015.7,10.0,04/01/2013 21:00
JFK,33.98,19.94,56.02,270.0,13.80936,0.0,1016.5,10.0,04/01/2013 22:00
JFK,33.98,19.04,53.91,270.0,13.80936,0.0,1016.8,10.0,04/01/2013 23:00
JFK,33.98,17.96,51.47,270.0,14.96014,0.0,1017.2,10.0,05/01/2013 00:00
JFK,33.98,17.06,49.51,290.0,17.2617,0.0,1017.9,10.0,05/01/2013 01:00
JFK,33.98,15.98,47.25,290.0,18.41248,0.0,1018.9,10.0,05/01/2013 02:00
JFK,33.08,15.98,48.98,290.0,13.80936,0.0,1019.4,10.0,05/01/2013 03:00
JFK,33.08,15.98,48.98,270.0,12.65858,0.0,1020.1,10.0,05/01/2013 04:00
JFK,33.08,17.96,53.36,270.0,16.11092,0.0,1021.2,10.0,05/01/2013 05:00
JFK,33.08,17.96,53.36,260.0,10.35702,0.0,1022.4,10.0,05/01/2013 06:00
JFK,33.08,19.04,55.89,260.0,13.80936,0.0,1023.3,10.0,05/01/2013 07:00
JFK,35.06,19.94,53.66,260.0,12.65858,0.0,1024.5,10.0,05/01/2013 08:00
JFK,37.04,19.94,49.62,270.0,10.35702,0.0,1024.9,10.0,05/01/2013 09:00
JFK,41.0,19.94,42.51,320.0,20.71404,0.0,1024.7,10.0,05/01/2013 10:00
JFK,42.98,19.04,37.9,320.0,17.2617,0.0,1024.9,10.0,05/01/2013 11:00
JFK,44.06,19.94,37.79,330.0,16.11092,0.0,1023.9,10.0,05/01/2013 12:00
JFK,44.06,19.04,36.36,310.0,9.20624,0.0,1024.0,10.0,05/01/2013 13:00
JFK,44.06,19.04,36.36,310.0,11.5078,0.0,1024.1,10.0,05/01/2013 14:00
JFK,42.08,19.04,39.23,280.0,8.05546,0.0,1024.4,10.0,05/01/2013 15:00
JFK,39.02,21.02,48.07,260.0,8.05546,0.0,1024.2,10.0,05/01/2013 16:00
JFK,37.94,21.02,50.14,260.0,5.7539,0.0,1025.0,10.0,05/01/2013 17:00
JFK,35.96,24.98,64.03,240.0,9.20624,0.0,1025.2,10.0,05/01/2013 18:00
JFK,35.06,23.0,61.08,240.0,8.05546,0.0,1025.3,10.0,05/01/2013 19:00
JFK,33.98,23.0,63.77,240.0,5.7539,0.0,1024.2,10.0,05/01/2013 20:00
JFK,33.98,24.08,66.72,240.0,5.7539,0.0,1024.6,10.0,05/01/2013 21:00
JFK,33.98,24.08,66.72,230.0,8.05546,0.0,1023.9,10.0,05/01/2013 22:00
JFK,35.06,24.98,66.36,230.0,8.05546,0.0,1023.2,10.0,05/01/2013 23:00
JFK,35.06,24.98,66.36,240.0,8.05546,0.0,1023.8,10.0,06/01/2013 00:00
JFK,35.06,24.98,66.36,240.0,6.90468,0.0,1023.9,10.0,06/01/2013 01:00
JFK,35.06,26.06,69.4,240.0,8.05546,0.0,1023.0,9.0,06/01/2013 02:00
JFK,35.96,26.06,66.97,250.0,8.05546,0.0,1022.1,10.0,06/01/2013 03:00
JFK,33.8,30.02,88.37,230.0,11.5078,0.0,,3.0,06/01/2013 04:00
JFK,33.08,30.92,91.66,250.0,8.05546,0.0,1020.9,4.0,06/01/2013 05:00
JFK,33.98,32.0,92.36,230.0,10.35702,0.0,,6.0,06/01/2013 06:00
JFK,35.6,33.8,93.08,240.0,11.5078,0.0,,10.0,06/01/2013 07:00
JFK,35.96,33.8,93.08,260.0,12.65858,0.0,,8.0,06/01/2013 08:00
JFK,37.04,32.0,86.59,250.0,14.96014,0.0,,9.0,06/01/2013 09:00
JFK,39.2,33.8,80.79,240.0,11.5078,0.0,,9.0,06/01/2013 10:00
JFK,39.92,32.0,73.08,230.0,12.65858,0.0,1017.8,9.0,06/01/2013 11:00
JFK,42.08,32.0,67.22,230.0,12.65858,0.0,1016.8,9.0,06/01/2013 12:00
JFK,42.98,30.92,62.16,230.0,10.35702,0.0,1016.1,10.0,06/01/2013 13:00
JFK,44.96,30.02,55.56,220.0,10.35702,0.0,1015.6,10.0,06/01/2013 14:00
JFK,44.06,28.94,55.02,230.0,10.35702,0.0,1015.5,10.0,06/01/2013 15:00
JFK,41.0,28.04,59.65,220.0,11.5078,0.0,1015.8,10.0,06/01/2013 16:00
JFK,41.0,28.94,61.89,240.0,10.35702,0.0,1016.3,10.0,06/01/2013 17:00
JFK,42.98,26.06,50.94,260.0,14.96014,0.0,1016.7,10.0,06/01/2013 18:00
JFK,42.98,24.98,48.7,260.0,11.5078,0.0,1016.8,10.0,06/01/2013 19:00
JFK,42.98,24.98,48.7,270.0,12.65858,0.0,1016.9,10.0,06/01/2013 20:00
JFK,42.98,26.06,50.94,270.0,10.35702,0.0,1017.1,10.0,06/01/2013 21:00
JFK,42.98,26.06,50.94,280.0,10.35702,0.0,1017.3,10.0,06/01/2013 22:00
JFK,42.98,26.06,50.94,280.0,12.65858,0.0,1017.9,10.0,06/01/2013 23:00
JFK,41.0,26.06,54.97,290.0,14.96014,0.0,1018.3,10.0,07/01/2013 00:00
JFK,39.92,26.06,57.33,280.0,10.35702,0.0,1019.0,10.0,07/01/2013 01:00
JFK,37.94,26.06,61.94,280.0,9.20624,0.0,1019.4,10.0,07/01/2013 02:00
JFK,37.94,26.96,64.29,290.0,10.35702,0.0,1019.7,10.0,07/01/2013 03:00
JFK,37.94,26.96,64.29,300.0,10.35702,0.0,1020.5,10.0,07/01/2013 04:00
JFK,39.02,26.96,61.63,300.0,12.65858,0.0,1021.6,10.0,07/01/2013 05:00
JFK,37.94,26.96,64.29,300.0,12.65858,0.0,1023.0,10.0,07/01/2013 06:00
JFK,37.94,26.96,64.29,300.0,4.60312,0.0,1023.9,10.0,07/01/2013 07:00
JFK,42.08,26.96,54.73,310.0,12.65858,0.0,1024.9,10.0,07/01/2013 08:00
JFK,44.06,26.96,50.73,320.0,18.41248,0.0,1025.9,10.0,07/01/2013 09:00
JFK,46.04,24.98,43.34,330.0,11.5078,0.0,1026.3,10.0,07/01/2013 10:00
JFK,46.04,23.0,39.9,310.0,13.80936,0.0,1026.5,10.0,07/01/2013 11:00
JFK,46.04,21.02,36.7,290.0,13.80936,0.0,1027.0,10.0,07/01/2013 12:00
JFK,46.04,19.94,35.05,320.0,11.5078,0.0,1027.3,10.0,07/01/2013 13:00
JFK,46.04,19.94,35.05,340.0,8.05546,0.0,1027.9,10.0,07/01/2013 14:00
JFK,44.96,19.04,35.14,340.0,5.7539,0.0,1028.5,10.0,07/01/2013 15:00
JFK,41.0,19.04,40.9,350.0,5.7539,0.0,1029.2,10.0,07/01/2013 16:00
JFK,37.94,19.94,47.89,160.0,4.60312,0.0,1029.6,10.0,07/01/2013 17:00
JFK,39.92,19.94,44.33,0.0,0.0,0.0,1029.5,10.0,07/01/2013 18:00
JFK,37.04,19.94,49.62,0.0,0.0,0.0,1029.7,10.0,07/01/2013 19:00
JFK,37.04,21.92,53.97,0.0,0.0,0.0,1029.6,10.0,07/01/2013 20:00
JFK,32.0,21.92,65.97,0.0,0.0,0.0,1029.3,10.0,07/01/2013 21:00
JFK,33.08,24.08,69.17,0.0,0.0,0.0,1029.5,10.0,07/01/2013 22:00
JFK,33.98,26.06,72.45,250.0,9.20624,0.0,1029.5,10.0,07/01/2013 23:00
JFK,32.0,26.06,78.45,240.0,8.05546,0.0,1029.6,10.0,08/01/2013 00:00
JFK,32.0,26.96,81.42,230.0,8.05546,0.0,1029.4,10.0,08/01/2013 01:00
JFK,32.0,28.04,85.12,230.0,6.90468,0.0,1029.2,10.0,08/01/2013 02:00
JFK,33.98,28.94,81.57,220.0,10.35702,0.0,1028.7,10.0,08/01/2013 03:00
JFK,33.08,28.04,81.5,230.0,11.5078,0.0,1028.7,10.0,08/01/2013 04:00
JFK,33.98,28.04,78.62,230.0,10.35702,0.0,1029.3,10.0,08/01/2013 05:00
JFK,35.06,28.04,75.31,220.0,13.80936,0.0,1029.8,10.0,08/01/2013 06:00
JFK,35.96,28.94,75.39,230.0,13.80936,0.0,1030.5,10.0,08/01/2013 07:00
JFK,39.02,30.92,72.46,230.0,12.65858,0.0,1031.1,10.0,08/01/2013 08:00
JFK,41.0,30.92,67.09,240.0,11.5078,0.0,1031.0,10.0,08/01/2013 09:00
JFK,42.98,30.92,62.16,240.0,10.35702,0.0,1030.4,10.0,08/01/2013 10:00
JFK,44.96,30.02,55.56,220.0,9.20624,0.0,1028.8,10.0,08/01/2013 11:00
JFK,46.94,30.92,53.47,230.0,13.80936,0.0,1028.5,10.0,08/01/2013 12:00
JFK,48.02,30.02,49.5,250.0,12.65858,0.0,1028.1,10.0,08/01/2013 13:00
JFK,48.02,30.92,51.34,250.0,11.5078,0.0,1028.5,10.0,08/01/2013 14:00
JFK,46.94,30.92,53.47,250.0,12.65858,0.0,1028.3,10.0,08/01/2013 15:00
JFK,44.06,30.92,59.64,230.0,10.35702,0.0,1028.4,10.0,08/01/2013 16:00
JFK,42.98,32.0,64.93,230.0,11.5078,0.0,1028.6,10.0,08/01/2013 17:00
JFK,42.08,32.0,67.22,230.0,12.65858,0.0,1029.1,10.0,08/01/2013 18:00
JFK,42.08,33.08,70.2,240.0,10.35702,0.0,1029.2,10.0,08/01/2013 19:00
JFK,41.0,33.08,73.19,240.0,11.5078,0.0,1029.4,10.0,08/01/2013 20:00
JFK,37.04,32.0,81.8,240.0,5.7539,0.0,1029.0,9.0,08/01/2013 21:00
JFK,35.06,30.02,81.65,230.0,6.90468,0.0,1029.7,9.0,08/01/2013 22:00
JFK,35.96,30.92,81.72,230.0,6.90468,0.0,1029.6,10.0,08/01/2013 23:00
JFK,35.06,30.92,84.69,240.0,5.7539,0.0,1029.6,10.0,09/01/2013 00:00
JFK,35.06,30.92,84.69,230.0,3.45234,0.0,1029.1,10.0,09/01/2013 01:00
JFK,35.06,32.0,88.47,220.0,4.60312,0.0,1029.1,10.0,09/01/2013 02:00
JFK,35.06,32.0,88.47,0.0,0.0,0.0,1028.7,9.0,09/01/2013 03:00
JFK,35.06,33.08,92.4,0.0,0.0,0.0,1028.6,9.0,09/01/2013 04:00
JFK,37.04,32.0,81.8,0.0,0.0,0.0,1028.4,10.0,09/01/2013 05:00
JFK,37.94,32.0,78.96,0.0,0.0,0.0,1028.6,9.0,09/01/2013 06:00
JFK,33.98,30.92,88.42,,3.45234,0.0,1029.1,8.0,09/01/2013 07:00
JFK,39.92,37.04,89.34,0.0,0.0,0.0,1029.2,7.0,09/01/2013 08:00
JFK,44.96,37.04,73.59,210.0,4.60312,0.0,1029.0,8.0,09/01/2013 09:00
JFK,46.94,35.06,63.13,160.0,9.20624,0.0,1027.2,10.0,09/01/2013 10:00
JFK,46.04,37.04,70.64,200.0,6.90468,0.0,1026.3,10.0,09/01/2013 11:00
JFK,46.04,33.98,62.56,190.0,9.20624,0.0,1024.6,10.0,09/01/2013 12:00
JFK,46.94,35.06,63.13,210.0,6.90468,0.0,1025.1,10.0,09/01/2013 13:00
JFK,46.4,34.16,62.16,170.0,9.20624,0.0,1022.5,10.0,09/01/2013 14:00
JFK,45.32,36.32,70.56,190.0,8.05546,0.0,1021.4,10.0,09/01/2013 15:00
JFK,46.04,39.02,76.35,210.0,6.90468,0.0,1021.1,10.0,09/01/2013 16:00
JFK,48.02,39.02,70.86,250.0,8.05546,0.0,1022.1,10.0,09/01/2013 17:00
JFK,48.02,37.04,65.56,250.0,17.2617,0.0,1022.4,10.0,09/01/2013 18:00
JFK,48.02,37.04,65.56,250.0,16.11092,0.0,1022.8,10.0,09/01/2013 19:00
JFK,46.94,37.04,68.28,250.0,16.11092,0.0,1022.6,10.0,09/01/2013 20:00
JFK,46.04,35.96,67.69,260.0,16.11092,0.0,1022.7,10.0,09/01/2013 21:00
JFK,46.94,33.08,58.33,260.0,16.11092,0.0,1023.5,10.0,09/01/2013 22:00
JFK,46.94,30.92,53.47,260.0,18.41248,0.0,1023.8,10.0,09/01/2013 23:00
JFK,44.06,30.92,59.64,260.0,14.96014,0.0,1024.6,10.0,10/01/2013 00:00
JFK,42.08,30.02,62.04,260.0,10.35702,0.0,1025.8,10.0,10/01/2013 01:00
JFK,42.08,28.94,59.36,260.0,8.05546,0.0,1026.8,10.0,10/01/2013 02:00
JFK,42.98,26.06,50.94,280.0,11.5078,0.0,1027.5,10.0,10/01/2013 03:00
JFK,41.0,26.06,54.97,300.0,14.96014,0.0,1028.1,10.0,10/01/2013 04:00
JFK,42.98,23.0,44.83,300.0,12.65858,0.0,1028.9,10.0,10/01/2013 05:00
JFK,41.0,23.0,48.39,300.0,10.35702,0.0,1029.8,10.0,10/01/2013 06:00
JFK,42.08,23.0,46.41,310.0,16.11092,0.0,1031.3,10.0,10/01/2013 07:00
JFK,44.06,23.0,43.02,320.0,14.96014,0.0,1032.2,10.0,10/01/2013 08:00
JFK,44.96,23.0,41.56,330.0,21.86482,0.0,1032.8,10.0,10/01/2013 09:00
JFK,46.04,21.92,38.12,330.0,21.86482,0.0,1032.4,10.0,10/01/2013 10:00
JFK,46.94,21.92,36.85,320.0,16.11092,0.0,1031.4,10.0,10/01/2013 11:00
JFK,48.02,19.94,32.53,310.0,14.96014,0.0,1031.3,10.0,10/01/2013 12:00
JFK,48.92,19.94,31.45,310.0,14.96014,0.0,1031.7,10.0,10/01/2013 13:00
JFK,48.02,19.94,32.53,300.0,11.5078,0.0,1032.0,10.0,10/01/2013 14:00
JFK,48.02,19.94,32.53,320.0,12.65858,0.0,1032.5,10.0,10/01/2013 15:00
JFK,44.96,19.94,36.52,320.0,12.65858,0.0,1033.0,10.0,10/01/2013 16:00
JFK,44.06,19.94,37.79,320.0,6.90468,0.0,1033.2,10.0,10/01/2013 17:00
JFK,44.06,21.02,39.57,310.0,6.90468,0.0,1033.8,10.0,10/01/2013 18:00
JFK,42.08,21.02,42.69,320.0,5.7539,0.0,1034.2,10.0,10/01/2013 19:00
JFK,41.0,21.92,46.23,350.0,6.90468,0.0,1034.0,10.0,10/01/2013 20:00
JFK,39.92,23.0,50.46,30.0,5.7539,0.0,1034.2,10.0,10/01/2013 21:00
JFK,39.02,21.92,49.93,50.0,5.7539,0.0,1034.5,10.0,10/01/2013 22:00
JFK,39.02,21.92,49.93,30.0,4.60312,0.0,1034.6,10.0,10/01/2013 23:00
JFK,37.94,23.0,54.51,30.0,8.05546,0.0,1034.1,10.0,11/01/2013 00:00
JFK,37.04,24.08,59.09,30.0,6.90468,0.0,1033.7,10.0,11/01/2013 01:00
JFK,33.98,23.0,63.77,40.0,4.60312,0.0,1033.5,10.0,11/01/2013 02:00
JFK,33.98,24.08,66.72,30.0,6.90468,0.0,1032.7,10.0,11/01/2013 03:00
JFK,35.06,24.98,66.36,40.0,5.7539,0.0,1031.6,10.0,11/01/2013 04:00
JFK,35.96,24.98,64.03,50.0,4.60312,0.0,1031.8,10.0,11/01/2013 05:00
JFK,37.04,24.98,61.35,0.0,0.0,0.0,1032.5,10.0,11/01/2013 06:00
JFK,35.96,26.06,66.97,0.0,0.0,0.0,1032.7,10.0,11/01/2013 07:00
JFK,39.02,28.04,64.43,80.0,6.90468,0.0,1031.8,10.0,11/01/2013 08:00
JFK,41.0,28.94,61.89,80.0,4.60312,0.0,1031.8,10.0,11/01/2013 09:00
JFK,42.08,30.92,64.35,100.0,6.90468,0.0,1030.7,10.0,11/01/2013 10:00
JFK,42.98,33.98,70.3,80.0,11.5078,0.0,1028.8,10.0,11/01/2013 11:00
JFK,42.98,33.98,70.3,100.0,9.20624,0.0,1027.9,10.0,11/01/2013 12:00
JFK,42.98,35.96,76.06,90.0,6.90468,0.0,1027.2,10.0,11/01/2013 13:00
JFK,44.06,37.04,76.16,90.0,8.05546,0.0,1026.5,10.0,11/01/2013 14:00
JFK,44.06,39.02,82.31,100.0,6.90468,0.0,1025.4,10.0,11/01/2013 15:00
JFK,44.6,41.0,88.9,90.0,9.20624,0.03,,7.0,11/01/2013 16:00
JFK,44.96,42.98,93.35,120.0,6.90468,0.05,,7.0,11/01/2013 17:00
JFK,46.4,44.6,93.4,160.0,13.80936,0.1,,7.0,11/01/2013 18:00
JFK,46.4,44.96,95.99,120.0,9.20624,0.12,,6.0,11/01/2013 19:00
JFK,46.04,44.06,92.75,70.0,3.45234,0.13,1022.4,6.0,11/01/2013 20:00
JFK,44.96,44.06,96.63,90.0,5.7539,0.06,1021.3,4.0,11/01/2013 21:00
JFK,46.04,44.06,92.75,100.0,9.20624,0.07,1020.0,6.0,11/01/2013 22:00
JFK,46.04,44.96,95.99,50.0,8.05546,0.02,1019.2,3.0,11/01/2013 23:00
JFK,48.02,46.04,92.81,70.0,8.05546,0.04,1018.5,1.5,12/01/2013 00:00
JFK,48.92,48.02,96.69,10.0,5.7539,0.01,1018.5,1.5,12/01/2013 01:00
JFK,44.96,44.06,96.63,340.0,10.35702,0.01,1018.7,1.5,12/01/2013 02:00
JFK,44.96,42.98,92.72,350.0,10.35702,0.0,1018.5,2.0,12/01/2013 03:00
JFK,44.96,42.98,92.72,20.0,10.35702,0.0,1018.2,4.0,12/01/2013 04:00
JFK,44.96,44.06,96.63,350.0,9.20624,0.0,1019.2,4.0,12/01/2013 05:00
JFK,44.96,42.98,92.72,10.0,12.65858,0.0,1019.5,3.0,12/01/2013 06:00
JFK,44.06,42.98,95.95,360.0,8.05546,0.0,1020.4,7.0,12/01/2013 07:00
JFK,44.96,42.98,92.72,20.0,9.20624,0.0,1021.0,6.0,12/01/2013 08:00
JFK,44.96,42.98,92.72,30.0,11.5078,0.0,1021.1,7.0,12/01/2013 09:00
JFK,46.04,44.06,92.75,10.0,4.60312,0.0,1021.0,1.0,12/01/2013 10:00
JFK,46.04,44.06,92.75,330.0,5.7539,0.0,1020.8,2.0,12/01/2013 11:00
JFK,46.04,44.06,92.75,360.0,5.7539,0.0,1020.5,2.5,12/01/2013 12:00
JFK,46.04,44.06,92.75,320.0,5.7539,0.0,1021.4,3.0,12/01/2013 13:00
JFK,46.04,44.06,92.75,0.0,0.0,0.0,1021.0,3.0,12/01/2013 14:00
JFK,46.04,42.98,88.99,10.0,5.7539,0.0,1020.8,2.0,12/01/2013 15:00
JFK,44.96,42.98,92.72,0.0,0.0,0.0,1021.5,2.0,12/01/2013 16:00
JFK,44.96,42.98,92.72,10.0,5.7539,0.0,1022.2,2.0,12/01/2013 17:00
JFK,44.06,42.08,92.69,20.0,4.60312,0.0,1021.6,1.0,12/01/2013 18:00
JFK,42.98,42.08,96.6,0.0,0.0,0.0,1021.9,0.25,12/01/2013 19:00
JFK,42.98,42.8,100.0,250.0,5.7539,0.0,,0.25,12/01/2013 20:00
JFK,42.98,42.8,100.0,260.0,3.45234,0.0,,0.25,12/01/2013 21:00
JFK,42.98,42.98,100.0,0.0,0.0,0.0,1020.9,0.25,12/01/2013 22:00
