Mean TemperatureC,MeanDew PointC, Mean Humidity, Mean Sea Level PressurehPa, Mean VisibilityKm, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,WindDirDegrees,Precipitationmm, CloudCover
7.0,2.0,74.0,1031,10.0,3,,359,0.0,1.0
7.0,3.0,76.0,1031,,3,,284,0.0,
11.0,6.0,78.0,1032,8.0,3,,32,0.0,2.0
10.0,6.0,78.0,1030,8.0,10,,306,0.0,1.0
11.0,7.0,72.0,1029,10.0,14,,250,0.0,3.0
12.0,9.0,82.0,1023,10.0,19,53.0,252,0.0,4.0
10.0,2.0,54.0,1024,10.0,14,47.0,268,0.0,2.0
7.0,3.0,76.0,1023,10.0,3,,214,0.0,2.0
8.0,3.0,75.0,1027,10.0,5,,190,0.0,1.0
9.0,3.0,72.0,1031,10.0,3,,15,0.0,2.0
10.0,4.0,71.0,1033,,3,,287,0.0,
10.0,5.0,72.0,1031,9.0,2,,254,0.0,0.0
12.0,6.0,72.0,1029,9.0,2,,11,0.0,2.0
12.0,7.0,77.0,1027,10.0,3,,314,0.0,6.0
12.0,8.0,79.0,1023,7.0,6,,210,0.0,3.0
9.0,6.0,80.0,1022,8.0,8,,225,0.0,4.0
12.0,8.0,79.0,1025,9.0,10,,201,0.0,4.0
11.0,5.0,76.0,1030,7.0,3,,12,0.0,4.0
13.0,1.0,54.0,1034,10.0,3,,74,0.0,1.0
11.0,2.0,59.0,1033,,3,,347,0.0,
12.0,4.0,65.0,1030,,5,,339,0.0,
13.0,6.0,63.0,1031,,3,,331,0.0,
14.0,4.0,58.0,1034,,2,,359,0.0,
13.0,6.0,65.0,1032,10.0,2,,359,0.0,4.0
14.0,6.0,65.0,1031,10.0,2,,349,0.0,4.0
14.0,6.0,56.0,1030,,3,,358,0.0,
13.0,5.0,59.0,1026,9.0,3,,349,0.0,0.0
12.0,5.0,63.0,1027,10.0,5,,163,0.0,1.0
11.0,3.0,58.0,1029,,6,,139,0.0,
10.0,1.0,55.0,1030,,5,,12,0.0,
11.0,2.0,57.0,1029,,3,,336,0.0,
13.0,3.0,57.0,1031,,6,,288,0.0,
13.0,4.0,65.0,1030,,3,,353,0.0,
13.0,3.0,53.0,1026,,6,,14,0.0,
14.0,6.0,56.0,1025,10.0,11,,35,0.0,1.0
13.0,6.0,61.0,1026,,5,,318,0.0,
14.0,6.0,60.0,1025,10.0,5,,2,0.0,1.0
16.0,6.0,57.0,1022,10.0,2,,323,0.0,2.0
14.0,5.0,55.0,1019,,3,,4,0.0,
13.0,4.0,57.0,1016,,5,,284,0.0,
13.0,4.0,56.0,1016,,3,,350,0.0,
14.0,2.0,46.0,1017,,6,,359,0.0,
13.0,4.0,55.0,1017,10.0,5,,329,0.0,1.0
13.0,4.0,55.0,1014,,5,,347,0.0,
11.0,3.0,59.0,1015,10.0,23,55.0,39,0.0,2.0
11.0,5.0,63.0,1020,,8,,6,0.0,
12.0,5.0,61.0,1024,,2,,305,0.0,
13.0,6.0,62.0,1020,10.0,5,,40,0.0,2.0
14.0,6.0,54.0,1017,10.0,6,,43,0.0,1.0
14.0,6.0,56.0,1017,10.0,2,,277,0.0,1.0
14.0,6.0,56.0,1017,10.0,2,,189,0.0,1.0
14.0,7.0,60.0,1017,10.0,5,,83,0.0,1.0
16.0,6.0,53.0,1016,10.0,0,,-1,0.0,2.0
16.0,7.0,57.0,1017,10.0,2,,4,0.0,3.0
16.0,5.0,49.0,1021,10.0,14,,33,0.0,1.0
17.0,6.0,49.0,1020,,8,,75,0.0,
14.0,7.0,55.0,1017,10.0,6,,9,0.0,5.0
16.0,9.0,72.0,1015,10.0,8,,42,0.0,5.0
13.0,10.0,80.0,1018,10.0,5,,61,0.0,5.0
14.0,6.0,62.0,1023,10.0,8,,58,0.0,6.0
14.0,7.0,63.0,1027,10.0,10,,176,0.0,4.0
13.0,4.0,60.0,1025,9.0,3,,294,0.0,1.0
16.0,3.0,40.0,1018,,8,,16,0.0,
16.0,5.0,49.0,1016,10.0,8,,349,0.0,1.0
16.0,5.0,49.0,1016,10.0,3,,47,0.0,1.0
16.0,6.0,49.0,1018,10.0,3,,223,0.0,2.0
18.0,7.0,48.0,1014,10.0,6,50.0,218,0.0,6.0
17.0,11.0,72.0,1009,10.0,10,45.0,252,0.0,6.0
14.0,10.0,78.0,1008,10.0,6,,232,0.0,6.0
14.0,13.0,93.0,1004,8.0,14,,207,0.0,6.0
14.0,12.0,87.0,999,8.0,8,,123,0.0,6.0
15.0,7.0,64.0,1001,10.0,13,,28,0.0,5.0
13.0,2.0,45.0,1007,10.0,10,,28,0.0,3.0
14.0,4.0,48.0,1015,10.0,6,,216,0.0,2.0
13.0,7.0,62.0,1020,9.0,10,,257,0.0,3.0
14.0,10.0,71.0,1021,10.0,3,,203,0.0,5.0
16.0,11.0,73.0,1021,9.0,6,42.0,240,0.0,4.0
19.0,9.0,55.0,1021,10.0,16,,278,0.0,4.0
19.0,11.0,57.0,1024,10.0,6,,36,0.0,1.0
19.0,12.0,61.0,1021,10.0,5,,33,0.0,1.0
19.0,7.0,45.0,1018,,6,,60,0.0,
18.0,9.0,54.0,1020,,5,,214,0.0,
19.0,11.0,57.0,1021,10.0,5,,175,0.0,6.0
20.0,11.0,52.0,1021,10.0,6,27.0,231,0.0,4.0
20.0,12.0,57.0,1016,10.0,10,52.0,235,0.0,3.0
17.0,11.0,66.0,1009,10.0,29,72.0,259,0.0,4.0
13.0,4.0,58.0,1011,10.0,24,52.0,282,0.0,4.0
11.0,3.0,57.0,1010,10.0,24,64.0,297,0.0,5.0
11.0,2.0,52.0,1017,10.0,6,34.0,291,0.0,2.0
13.0,6.0,56.0,1016,10.0,6,,296,0.0,3.0
14.0,8.0,62.0,1014,10.0,6,37.0,257,0.0,3.0
16.0,7.0,56.0,1013,10.0,10,45.0,234,0.0,3.0
18.0,9.0,57.0,1016,10.0,3,34.0,241,0.0,3.0
17.0,12.0,79.0,1016,10.0,6,,82,0.0,5.0
16.0,11.0,77.0,1015,10.0,8,,17,0.0,3.0
17.0,11.0,74.0,1013,10.0,3,45.0,253,0.0,4.0
16.0,11.0,76.0,1012,10.0,6,42.0,240,0.0,5.0
14.0,8.0,69.0,1014,10.0,11,,228,0.0,5.0
14.0,8.0,66.0,1014,10.0,6,,215,0.0,4.0
16.0,9.0,66.0,1012,10.0,16,55.0,248,0.0,6.0
16.0,8.0,59.0,1015,10.0,11,37.0,249,0.0,4.0
17.0,8.0,57.0,1016,10.0,6,32.0,249,0.0,3.0
18.0,8.0,54.0,1015,10.0,3,,277,0.0,3.0
18.0,9.0,52.0,1011,10.0,6,,190,0.0,3.0
19.0,12.0,64.0,1012,10.0,16,,135,0.0,5.0
16.0,13.0,85.0,1013,9.0,11,45.0,25,0.0,6.0
17.0,13.0,78.0,1016,10.0,3,,346,0.0,5.0
18.0,12.0,65.0,1017,10.0,5,,279,0.0,4.0
20.0,11.0,58.0,1016,10.0,6,,266,0.0,3.0
21.0,12.0,56.0,1016,10.0,3,,13,0.0,5.0
21.0,13.0,59.0,1016,10.0,8,,111,0.0,3.0
17.0,12.0,76.0,1013,10.0,10,,52,0.0,5.0
18.0,11.0,66.0,1009,10.0,11,53.0,273,0.0,4.0
18.0,11.0,67.0,1013,10.0,24,47.0,261,0.0,5.0
17.0,10.0,62.0,1016,10.0,5,,199,0.0,4.0
17.0,12.0,74.0,1010,10.0,8,,180,0.0,6.0
16.0,11.0,79.0,1009,9.0,14,,212,0.0,5.0
20.0,13.0,66.0,1013,10.0,11,40.0,200,0.0,4.0
20.0,12.0,61.0,1014,10.0,10,48.0,227,0.0,4.0
19.0,10.0,56.0,1019,10.0,3,26.0,246,0.0,4.0
22.0,13.0,55.0,1018,10.0,5,35.0,222,0.0,4.0
23.0,13.0,51.0,1015,10.0,11,,215,0.0,4.0
22.0,12.0,52.0,1015,10.0,16,26.0,233,0.0,2.0
21.0,11.0,52.0,1013,10.0,5,34.0,233,0.0,3.0
22.0,12.0,50.0,1011,10.0,13,53.0,212,0.0,1.0
24.0,13.0,50.0,1015,10.0,10,,272,0.0,3.0
23.0,12.0,46.0,1017,10.0,10,35.0,233,0.0,2.0
21.0,9.0,47.0,1016,10.0,6,37.0,298,0.0,1.0
19.0,9.0,53.0,1017,10.0,5,,9,0.0,5.0
20.0,12.0,61.0,1016,10.0,10,,38,0.0,3.0
21.0,11.0,59.0,1014,10.0,3,27.0,275,0.0,3.0
21.0,9.0,47.0,1012,10.0,6,42.0,269,0.0,1.0
22.0,12.0,48.0,1010,10.0,14,55.0,267,0.0,2.0
20.0,8.0,47.0,1014,10.0,16,,286,0.0,3.0
19.0,8.0,46.0,1017,10.0,3,,28,0.0,1.0
22.0,11.0,47.0,1017,10.0,6,26.0,346,0.0,2.0
24.0,10.0,41.0,1013,10.0,10,40.0,271,0.0,1.0
22.0,11.0,45.0,1006,10.0,10,29.0,298,0.0,3.0
19.0,8.0,46.0,1003,10.0,14,,353,0.0,4.0
16.0,7.0,57.0,1005,10.0,11,61.0,312,0.0,5.0
16.0,8.0,57.0,1011,10.0,13,,285,0.0,4.0
17.0,8.0,51.0,1014,10.0,11,32.0,280,0.0,2.0
17.0,9.0,60.0,1013,10.0,5,,235,0.0,5.0
18.0,11.0,69.0,1012,9.0,10,,245,0.0,6.0
16.0,7.0,55.0,1017,10.0,8,,283,0.0,3.0
17.0,6.0,48.0,1021,10.0,3,,20,0.0,5.0
18.0,8.0,50.0,1026,10.0,10,,68,0.0,1.0
21.0,9.0,48.0,1025,,13,,59,0.0,
23.0,11.0,44.0,1021,10.0,6,,70,0.0,1.0
24.0,12.0,42.0,1016,10.0,8,,58,0.0,5.0
23.0,14.0,60.0,1014,10.0,10,19.0,31,0.0,3.0
20.0,12.0,60.0,1015,10.0,6,,338,0.0,4.0
22.0,12.0,52.0,1017,10.0,8,,346,0.0,2.0
23.0,12.0,47.0,1015,10.0,5,,220,0.0,2.0
28.0,13.0,40.0,1014,10.0,11,,171,0.0,2.0
27.0,13.0,41.0,1017,10.0,13,,155,0.0,3.0
24.0,15.0,52.0,1017,10.0,14,64.0,161,0.0,6.0
22.0,13.0,64.0,1016,10.0,5,,313,0.0,4.0
22.0,12.0,52.0,1017,10.0,6,,23,0.0,3.0
27.0,11.0,39.0,1019,10.0,11,,27,0.0,2.0
26.0,9.0,39.0,1020,10.0,10,,19,0.0,1.0
26.0,11.0,42.0,1018,10.0,6,,5,0.0,3.0
27.0,14.0,45.0,1014,10.0,5,,199,0.0,2.0
24.0,15.0,64.0,1014,9.0,8,48.0,9,0.0,5.0
23.0,14.0,62.0,1017,10.0,10,55.0,25,0.0,5.0
23.0,12.0,54.0,1021,10.0,5,,16,0.0,3.0
26.0,13.0,45.0,1023,10.0,3,,19,0.0,1.0
27.0,12.0,38.0,1022,10.0,3,,21,0.0,2.0
27.0,12.0,42.0,1020,10.0,8,,15,0.0,4.0
27.0,12.0,40.0,1019,10.0,6,,91,0.0,4.0
27.0,14.0,50.0,1019,10.0,11,40.0,63,0.0,5.0
29.0,13.0,42.0,1019,10.0,6,,71,0.0,4.0
32.0,13.0,30.0,1019,10.0,6,,105,0.0,3.0
29.0,13.0,40.0,1016,10.0,3,,15,0.0,1.0
29.0,12.0,34.0,1015,10.0,8,,4,0.0,2.0
29.0,12.0,34.0,1015,10.0,8,,304,0.0,1.0
27.0,14.0,52.0,1015,10.0,8,,83,0.0,3.0
24.0,13.0,51.0,1015,10.0,8,,244,0.0,2.0
22.0,8.0,39.0,1013,10.0,8,,263,0.0,1.0
22.0,8.0,39.0,1012,10.0,6,,213,0.0,2.0
22.0,12.0,57.0,1015,10.0,6,,110,0.0,6.0
24.0,14.0,55.0,1017,10.0,5,,126,0.0,3.0
23.0,13.0,54.0,1016,10.0,6,,245,0.0,5.0
22.0,10.0,47.0,1019,10.0,6,,152,0.0,3.0
24.0,9.0,42.0,1022,10.0,3,,120,0.0,1.0
26.0,10.0,36.0,1023,,6,,132,0.0,
28.0,12.0,39.0,1022,10.0,6,,153,0.0,1.0
28.0,12.0,37.0,1020,10.0,10,55.0,124,0.0,4.0
27.0,12.0,40.0,1018,10.0,11,,331,0.0,2.0
28.0,12.0,37.0,1018,10.0,6,34.0,171,0.0,3.0
28.0,12.0,40.0,1018,10.0,6,37.0,226,0.0,4.0
27.0,12.0,37.0,1017,10.0,5,24.0,289,0.0,1.0
28.0,11.0,34.0,1016,10.0,5,40.0,312,0.0,2.0
29.0,13.0,39.0,1017,10.0,8,,129,0.0,2.0
27.0,13.0,38.0,1020,10.0,6,,122,0.0,3.0
29.0,15.0,47.0,1018,10.0,6,50.0,162,0.0,4.0
27.0,13.0,46.0,1016,10.0,6,,140,0.0,4.0
22.0,14.0,66.0,1014,10.0,11,47.0,193,0.0,6.0
23.0,11.0,53.0,1014,10.0,10,,190,0.0,3.0
22.0,7.0,42.0,1013,10.0,18,52.0,214,0.0,5.0
18.0,4.0,42.0,1017,10.0,21,48.0,288,0.0,3.0
18.0,3.0,39.0,1024,10.0,8,,230,0.0,1.0
22.0,4.0,33.0,1021,,5,,195,0.0,
22.0,7.0,36.0,1017,10.0,5,,239,0.0,4.0
22.0,8.0,41.0,1015,10.0,8,40.0,321,0.0,2.0
20.0,6.0,40.0,1021,10.0,8,,47,0.0,1.0
21.0,7.0,38.0,1020,,5,,257,0.0,
23.0,7.0,36.0,1020,,3,,73,0.0,
25.0,9.0,37.0,1019,10.0,6,,336,0.0,1.0
26.0,11.0,40.0,1019,10.0,6,,144,0.0,2.0
23.0,11.0,42.0,1023,10.0,6,,119,0.0,1.0
24.0,9.0,39.0,1023,10.0,5,,264,0.0,2.0
26.0,10.0,38.0,1021,10.0,5,,157,0.0,1.0
24.0,9.0,39.0,1018,10.0,3,,222,0.0,1.0
26.0,8.0,35.0,1015,,6,,260,0.0,
23.0,9.0,38.0,1014,10.0,10,,267,0.0,2.0
23.0,11.0,46.0,1016,10.0,10,,253,0.0,4.0
22.0,12.0,56.0,1019,10.0,3,,347,0.0,4.0
22.0,12.0,55.0,1020,10.0,5,,37,0.0,4.0
22.0,11.0,51.0,1021,10.0,5,,105,0.0,3.0
21.0,11.0,50.0,1022,10.0,6,,173,0.0,3.0
21.0,10.0,48.0,1023,10.0,5,,172,0.0,1.0
22.0,9.0,45.0,1022,10.0,5,,330,0.0,1.0
23.0,9.0,43.0,1021,10.0,5,,4,0.0,3.0
22.0,10.0,49.0,1020,10.0,6,,353,0.0,3.0
22.0,9.0,44.0,1019,10.0,5,,298,0.0,2.0
22.0,10.0,48.0,1019,10.0,5,,25,0.0,2.0
23.0,9.0,47.0,1018,10.0,8,,345,0.0,4.0
20.0,11.0,61.0,1019,9.0,6,,21,0.0,5.0
18.0,13.0,73.0,1020,8.0,5,,64,0.0,7.0
20.0,11.0,60.0,1016,10.0,6,,57,0.0,4.0
20.0,11.0,56.0,1015,10.0,6,,72,0.0,4.0
21.0,11.0,54.0,1017,10.0,6,,64,0.0,4.0
22.0,12.0,57.0,1022,10.0,10,48.0,17,0.0,3.0
21.0,11.0,57.0,1022,10.0,5,,27,0.0,3.0
23.0,10.0,50.0,1018,10.0,3,,21,0.0,2.0
21.0,8.0,43.0,1017,10.0,5,,45,0.0,1.0
22.0,8.0,47.0,1018,10.0,3,,343,0.0,2.0
20.0,9.0,53.0,1015,10.0,6,,134,0.0,4.0
20.0,11.0,58.0,1011,10.0,10,,208,0.0,5.0
20.0,11.0,59.0,1013,10.0,8,,222,0.0,4.0
19.0,10.0,61.0,1019,10.0,6,,214,0.0,3.0
18.0,8.0,52.0,1023,10.0,6,,226,0.0,1.0
20.0,10.0,51.0,1023,10.0,5,,320,0.0,2.0
22.0,11.0,53.0,1020,10.0,6,,312,0.0,1.0
20.0,8.0,44.0,1017,10.0,14,,35,0.0,2.0
14.0,1.0,42.0,1020,10.0,18,45.0,16,0.0,1.0
14.0,2.0,44.0,1023,10.0,16,,20,0.0,3.0
13.0,0.0,44.0,1021,10.0,6,,342,0.0,2.0
16.0,4.0,45.0,1018,,3,,2,0.0,
16.0,4.0,51.0,1014,10.0,6,,145,0.0,1.0
18.0,9.0,56.0,1016,10.0,14,55.0,117,0.0,4.0
20.0,9.0,52.0,1017,10.0,24,,180,0.0,5.0
18.0,11.0,71.0,1014,9.0,6,,207,0.0,7.0
19.0,12.0,67.0,1013,9.0,6,,201,0.0,5.0
18.0,11.0,63.0,1012,10.0,8,,230,0.0,6.0
14.0,8.0,65.0,1014,8.0,6,,236,0.0,4.0
14.0,7.0,64.0,1016,10.0,3,,356,0.0,3.0
16.0,9.0,71.0,1019,10.0,3,,329,0.0,5.0
16.0,12.0,78.0,1020,10.0,3,,184,0.0,5.0
16.0,13.0,86.0,1016,9.0,5,,200,0.0,6.0
16.0,11.0,75.0,1015,10.0,18,,271,0.0,4.0
11.0,0.0,49.0,1022,10.0,13,,45,0.0,1.0
9.0,0.0,61.0,1023,10.0,3,,290,0.0,1.0
9.0,0.0,62.0,1021,,5,,352,0.0,
12.0,5.0,67.0,1018,10.0,5,,10,0.0,4.0
10.0,9.0,92.0,1014,6.0,6,,358,0.0,6.0
14.0,11.0,85.0,1008,7.0,8,,295,0.0,6.0
16.0,9.0,74.0,1010,9.0,14,42.0,248,0.0,6.0
13.0,12.0,91.0,1004,6.0,11,,194,0.0,8.0
11.0,5.0,70.0,992,9.0,27,103.0,224,0.0,5.0
10.0,8.0,88.0,1005,10.0,11,,213,0.0,7.0
12.0,8.0,72.0,1012,10.0,23,48.0,230,0.0,5.0
12.0,7.0,74.0,1014,10.0,16,,233,0.0,5.0
11.0,6.0,75.0,1013,10.0,18,48.0,230,0.0,3.0
10.0,3.0,68.0,1006,9.0,26,48.0,255,0.0,5.0
8.0,0.0,56.0,1011,10.0,16,,273,0.0,3.0
7.0,7.0,93.0,1011,8.0,8,,250,0.0,7.0
10.0,7.0,89.0,1017,4.0,3,,106,0.0,3.0
9.0,7.0,90.0,1022,4.0,2,,61,0.0,2.0
8.0,7.0,93.0,1021,2.0,3,,118,0.0,3.0
8.0,8.0,93.0,1018,2.0,3,,45,0.0,8.0
11.0,8.0,88.0,1011,3.0,6,,329,0.0,6.0
11.0,5.0,71.0,1010,10.0,10,,251,0.0,4.0
11.0,7.0,73.0,1012,10.0,11,,217,0.0,4.0
10.0,6.0,82.0,1010,10.0,5,,207,0.0,6.0
8.0,1.0,64.0,1015,10.0,6,,315,0.0,5.0
6.0,1.0,77.0,1021,10.0,3,,177,0.0,3.0
4.0,4.0,93.0,1011,9.0,5,,358,0.0,6.0
8.0,7.0,91.0,1004,7.0,8,,160,0.0,7.0
10.0,7.0,84.0,1004,8.0,5,,27,0.0,5.0
8.0,4.0,82.0,1016,6.0,5,,167,0.0,4.0
9.0,7.0,88.0,1019,8.0,5,,211,0.0,7.0
9.0,5.0,75.0,1020,8.0,13,37.0,254,0.0,4.0
12.0,3.0,54.0,1022,10.0,21,42.0,287,0.0,4.0
10.0,4.0,65.0,1021,10.0,8,,255,0.0,3.0
11.0,6.0,70.0,1015,10.0,14,45.0,247,0.0,3.0
9.0,1.0,69.0,1013,10.0,5,,53,0.0,5.0
2.0,-2.0,72.0,1007,8.0,13,48.0,36,0.0,7.0
4.0,-4.0,57.0,1013,10.0,19,,49,0.0,3.0
2.0,-2.0,77.0,1023,8.0,2,,41,0.0,0.0
2.0,-1.0,83.0,1023,7.0,3,,47,0.0,3.0
6.0,5.0,96.0,1020,2.0,2,,25,0.0,6.0
6.0,5.0,91.0,1022,4.0,2,,13,0.0,7.0
7.0,5.0,89.0,1025,3.0,2,,86,0.0,7.0
8.0,7.0,92.0,1026,2.0,2,,123,0.0,7.0
9.0,7.0,83.0,1024,5.0,5,,16,0.0,5.0
4.0,-1.0,74.0,1028,10.0,5,,4,0.0,5.0
6.0,-2.0,72.0,1025,10.0,3,,360,0.0,3.0
2.0,-1.0,82.0,1014,10.0,5,,21,0.0,3.0
6.0,4.0,94.0,1000,6.0,8,,338,0.0,7.0
11.0,10.0,88.0,998,7.0,23,55.0,184,0.0,7.0
10.0,6.0,77.0,1000,10.0,26,63.0,209,0.0,6.0
9.0,5.0,79.0,1004,10.0,14,48.0,211,0.0,5.0
8.0,2.0,68.0,1012,10.0,18,,247,0.0,5.0
8.0,6.0,87.0,1017,7.0,11,,205,0.0,6.0
10.0,7.0,85.0,1014,6.0,6,,300,0.0,6.0
8.0,3.0,70.0,1027,10.0,11,,92,0.0,3.0
6.0,3.0,89.0,1032,7.0,3,,357,0.0,5.0
7.0,4.0,88.0,1030,3.0,5,27.0,152,0.0,6.0
9.0,2.0,71.0,1025,6.0,11,,246,0.0,3.0
7.0,-1.0,55.0,1025,10.0,18,,278,0.0,3.0
4.0,2.0,83.0,1020,10.0,3,,194,0.0,5.0
7.0,6.0,92.0,1013,5.0,5,,5,0.0,8.0
9.0,7.0,86.0,1012,7.0,5,,354,0.0,8.0
8.0,7.0,89.0,1012,9.0,5,,128,0.0,7.0
6.0,-1.0,62.0,1018,10.0,3,,356,0.0,4.0
7.0,4.0,83.0,1021,10.0,8,52.0,203,0.0,6.0
12.0,8.0,82.0,1024,10.0,14,45.0,241,0.0,4.0
10.0,9.0,88.0,1023,10.0,11,48.0,217,0.0,6.0
10.0,6.0,79.0,1023,9.0,6,,278,0.0,4.0
4.0,3.0,89.0,1026,7.0,5,,359,0.0,5.0
4.0,3.0,88.0,1028,5.0,3,,120,0.0,5.0
8.0,3.0,78.0,1029,7.0,6,,17,0.0,3.0
8.0,2.0,77.0,1029,10.0,5,,358,0.0,3.0
7.0,4.0,81.0,1025,10.0,5,29.0,43,0.0,6.0
9.0,5.0,77.0,1021,10.0,3,,34,0.0,6.0
9.0,6.0,81.0,1017,10.0,10,55.0,147,0.0,6.0
8.0,4.0,71.0,1015,10.0,24,52.0,233,0.0,4.0
6.0,-2.0,55.0,1025,10.0,10,,263,0.0,3.0
4.0,1.0,81.0,1029,10.0,3,,166,0.0,3.0
6.0,4.0,89.0,1027,6.0,5,,65,0.0,3.0
6.0,1.0,80.0,1029,7.0,2,,49,0.0,2.0
4.0,3.0,86.0,1025,9.0,5,,226,0.0,5.0
11.0,4.0,68.0,1023,10.0,19,52.0,237,0.0,4.0
13.0,5.0,60.0,1025,10.0,21,50.0,330,0.0,4.0
8.0,-2.0,54.0,1026,10.0,6,,26,0.0,1.0
7.0,-1.0,65.0,1020,8.0,3,,145,0.0,0.0
3.0,2.0,85.0,1014,6.0,3,,270,0.0,3.0
6.0,2.0,81.0,1015,9.0,10,,9,0.0,6.0
2.0,-3.0,71.0,1015,10.0,5,,28,0.0,4.0
3.0,1.0,88.0,1014,9.0,8,,34,0.0,6.0
4.0,3.0,85.0,1010,10.0,10,,68,0.0,6.0
8.0,3.0,72.0,1007,10.0,11,,103,0.0,5.0
7.0,4.0,89.0,1012,9.0,5,,56,0.0,6.0
6.0,2.0,82.0,1011,7.0,5,,33,0.0,6.0
8.0,4.0,79.0,1005,10.0,3,,59,0.0,6.0
9.0,4.0,76.0,1007,10.0,6,,67,0.0,6.0
9.0,7.0,93.0,1003,9.0,3,,355,0.0,6.0
9.0,7.0,91.0,1001,6.0,3,,1,0.0,6.0
9.0,6.0,82.0,1006,9.0,6,,32,0.0,6.0
9.0,4.0,70.0,1016,10.0,6,,302,0.0,4.0
8.0,4.0,81.0,1020,9.0,5,,348,0.0,4.0
7.0,2.0,73.0,1027,8.0,5,,351,0.0,3.0
8.0,2.0,70.0,1026,10.0,5,,9,0.0,2.0
4.0,3.0,87.0,1026,9.0,6,,8,0.0,6.0
10.0,4.0,71.0,1029,10.0,3,,49,0.0,6.0
9.0,6.0,79.0,1031,9.0,5,,350,0.0,6.0
10.0,6.0,81.0,1032,9.0,5,,64,0.0,6.0
11.0,6.0,78.0,1032,10.0,3,,359,0.0,5.0
12.0,6.0,71.0,1033,7.0,3,,357,0.0,0.0
12.0,6.0,69.0,1032,,3,,4,0.0,
12.0,6.0,68.0,1029,8.0,3,,344,0.0,5.0
14.0,6.0,65.0,1029,9.0,5,,355,0.0,3.0
12.0,7.0,74.0,1032,10.0,5,,353,0.0,5.0
11.0,3.0,66.0,1031,7.0,3,,9,0.0,2.0
10.0,4.0,71.0,1025,10.0,5,,349,0.0,5.0
8.0,7.0,84.0,1024,9.0,10,37.0,267,0.0,5.0
8.0,-2.0,50.0,1032,10.0,14,,327,0.0,2.0
7.0,-1.0,57.0,1036,10.0,13,,2,0.0,2.0
8.0,-2.0,56.0,1032,10.0,11,,35,0.0,1.0
8.0,-1.0,56.0,1031,,8,,356,0.0,
9.0,0.0,62.0,1032,,5,,326,0.0,
9.0,1.0,63.0,1030,,3,,337,0.0,
9.0,2.0,67.0,1023,8.0,3,,285,0.0,2.0
9.0,2.0,64.0,1023,,6,,264,0.0,
9.0,2.0,63.0,1025,8.0,6,,245,0.0,1.0
11.0,3.0,64.0,1026,10.0,5,,24,0.0,4.0
11.0,3.0,62.0,1024,9.0,5,,342,0.0,6.0
13.0,4.0,59.0,1026,10.0,5,,221,0.0,3.0
